CSNameADC;HexCode;CSDecimal;CSNameWireshark;FrontendBuildsSupported;BackendBuildsSupported
SSL3-EXP-ADH-RC4-MD5;0x0017;23;TLS_DH_anon_EXPORT_WITH_RC4_40_MD5;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-EXP-ADH-DES-CBC-SHA;0x0019;25;TLS_DH_anon_EXPORT_WITH_DES40_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-NULL-MD5;0x0001;1;TLS_RSA_WITH_NULL_MD5;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-NULL-SHA;0x0002;2;TLS_RSA_WITH_NULL_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
TLS1.2-DHE-RSA-CHACHA20-POLY1305;0xccaa;52394;TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256;12.0 56.x and later,12.1,13.0;12.0 56.x and later,12.1,13.0
TLS1.2-ECDHE-RSACHACHA20-POLY1305;0xcca8;52392;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;12.0 56.x and later,12.1,13.0;12.0 56.x and later,12.1,13.0
TLS1.2-ECDHE-ECDSACHACHA20-POLY1305;0xcca9;52393;TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256;12.0 57.x and later,12.1,13.0;12.0 57.x and later,12.1,13.0
TLS1.3-AES128_GCM-SHA256;0x1301;4865;TLS_AES_128_GCM_SHA256;12.1-50.x,13.0;NA
TLS1.3-AES256-GCM-SHA384;0x1302;4866;TLS_AES_256_GCM_SHA384;12.1-50.x,13.0;NA
TLS1.3-CHACHA20-POLY1305-SHA256;0x1303;4867;TLS_CHACHA20_POLY1305_SHA256;12.1-50.x,13.0;NA
